"gender","genderID","ethnicity","citizen","English","Exam1","Exam2","attraction","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexual_orientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","InnocentVsGuilty","sexVsLove","attendance","version"
"Female","Female","White","Yes","Yes",91,93,40,"No",2,1,7,"straight","Yes",9,"No","No","Yes",4,6,3,0,0,2,2,4,1,"Yes - I already have",0,"Always Legal","Yes","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","Yes",93,91,30,"No",4,0,4,"straight","Yes",12,"No","No","No",5,5,7,0,0,3,1,7,5,"Yes - I already have",3,"Always Legal","Yes","January","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","White","Yes","Yes",80,82,45,"No",7,6,9,"straight","Yes",2,"No","No","No",3,3,10,1,1,5,1,8,2,"Yes - I would",2,"Illegal most of the time","No","January","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","Hispanic","Yes","No",75,71,15,"No",7,2,5,"straight","Yes",6,"No","No","No",3,1,10,5,5,1,1,5,6,"Yes - I already have",3,"Always Legal","Yes","June","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","White","Yes","Yes",80,91,55,"Uncertain",6,6,8,"straight","Yes",5,"No","No","No",7,7,8,0,0,4,4,8,7,"Yes - I already have",2,"Always Legal","Yes","December","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",92,90,50,"No",2,1,7,"straight","Yes",4,"No","No","No",6,6,4,0,0,0,1,6,8,"Yes - I would",0,"Always Legal","Yes","September","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","Yes",81,89,0,"Yes",9,8,10,"straight","Yes",3,"No","No","No",2,2,10,0,0,0,2,5,0,"No",3,"Always Illegal","Yes","April","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","Other","Yes","Yes",86,94,35,"No",6,4,8,"straight","Yes",2,"No","No","No",10,9,0,5,5,1,2,3,5,"Yes - I already have",4,"Neutral","Yes","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",88,86,15,"No",0,1,1,"straight","Yes",16,"No","Yes","Yes",7,6,2,0,0,2,2,8,1,"Yes - I already have",3,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",93,97,15,"No",3,2,5,"straight","Yes",6,"No","No","No",4,3,7,0,0,1,1,6,7,"Yes - I already have",2,"Always Legal","No","July","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",97,100,15,"No",3,3,3,"straight","Yes",2,"No","No","No",3,3,7,0,0,0,0,6,10,"Yes - I would",3,"Always Legal","Yes","May","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","East Asian","No","No",94,96,10,"Yes",0,5,5,"straight","Yes",4,"No","No","Yes",5,3,8,8,2,1,4,6,4,"Yes - I already have",2,"Always Legal","No","December","Over","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",95,95,15,"Uncertain",2,4,8,"straight","Yes",8,"No","No","No",2,2,8,0,0,0,0,8,3,"Yes - I would",3,"Legal most of the time","No","April","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",92,95,30,"Uncertain",7,6,6,"straight","Yes",4,"No","No","No",1,1,9,5,5,2,2,7,8,"Yes - I already have",3,"Always Legal","Yes","June","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","Black","Yes","Yes",95,95,10,"No",10,5,5,"straight","Yes",5,"No","Yes","No",3,3,8,5,5,10,4,7,9,"Yes - I already have",3,"Always Legal","Yes","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","Other","Yes","Yes",64,64,10,"Uncertain",6,5,8,"straight","Yes",5,"No","Yes","No",5,3,8,0,0,2,1,7,8,"Yes - I already have",2,"Legal most of the time","No","May","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","East Asian","No","No",89,96,20,"Uncertain",2,2,7,"gay/lesbian","No",11,"Yes","Yes","Yes",6,6,8,1,0,5,2,7,1,"Yes - I already have",1,"Always Legal","No","December","Over","FOLD","Burger King","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","South Asian","Yes","Yes",92,91,15,"No",6,2,4,"straight","Yes",2,"No","No","No",10,10,0,5,5,0,0,5,5,"No",2,"Legal most of the time","Yes","August","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","White","Yes","Yes",92,92,5,"No",5,7,8,"straight","Yes",5,"No","No","No",1,1,9,7,7,2,2,5,5,"Yes - I already have",3,"Always Illegal","No","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","East Asian","Yes","No",70,79,0,"Uncertain",0,0,5,"straight","Yes",15,"No","No","No",0,0,2,3,2,0,0,10,0,"No",0,"Neutral","Yes","July","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",94,95,10,"Uncertain",7,6,8,"straight","Yes",6,"No","No","No",1,1,8,3,3,1,1,6,5,"Yes - I already have",3,"Illegal most of the time","Yes","November","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Yes",84,94,20,"Yes",6,7,7,"straight","Yes",3,"No","No","No",7,7,0,2,2,2,2,6,6,"Yes - I already have",3,"Illegal most of the time","No","May","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","East Asian","No","No",91,94,30,"No",2,3,4,"bi","No",18,"Yes","No","No",7,8,3,0,0,0,0,10,1,"Yes - I would",2,"Legal most of the time","Yes","September","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","Hispanic","Yes","Yes",82,93,0,"No",5,0,2,"bi","Yes",14,"Yes","Yes","Yes",0,0,5,0,0,6,2,8,10,"Yes - I already have",2,"Always Legal","Yes","February","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","Yes",72,79,5,"No",0,0,4,"other","Some do",2,"No","Yes","Yes",5,5,5,0,0,1,2,8,10,"Yes - I already have",2,"Always Legal","No","March","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",1
"Male","Male","South Asian","Yes","Yes",94,96,0,"No",0,0,5,"straight","Yes",2,"No","Yes","No",5,0,10,10,10,1,1,5,10,"Yes - I already have",2,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","Other","Yes","Yes",90,89,30,"Uncertain",8,10,8,"straight","Yes",2,"No","No","No",0,0,10,0,1,0,0,0,0,"Unsure",2,"Neutral","No","October","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",69,71,45,"No",3,5,0,"straight","Yes",5,"No","No","No",0,0,10,0,0,1,3,5,7,"Yes - I already have",2,"Always Legal","No","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","Yes",96,97,15,"Uncertain",1,5,5,"straight","Yes",10,"No","No","No",8,7,2,3,5,16,2,7,2,"Yes - I already have",2,"Always Legal","No","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","Yes",87,87,30,"No",6,3,3,"straight","Yes",6,"No","No","No",10,10,2,0,0,0,2,7,5,"Yes - I would",2,"Neutral","No","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","Other","Yes","Yes",90,80,5,"Yes",5,7,8,"straight","Yes",7,"No","No","No",4,4,9,2,2,9,0,7,0,"Yes - I already have",2,"Legal most of the time","Yes","May","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Female","Female","South Asian","Yes","No",61,62,5,"No",7,2,7,"straight","Yes",12,"No","No","Yes",2,1,9,0,0,0,0,2,10,"No",2,"Neutral","Yes","October","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","Other","Yes","Yes",73,86,100,"No",5,2,7,"straight","Yes",10,"No","No","No",4,4,1,0,2,14,1,10,3,"Yes - I already have",2,"Always Legal","No","October","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Male","Male","East Asian","No","No",93,97,25,"Uncertain",1,4,5,"straight","Yes",9,"No","No","No",6,7,3,0,0,1,1,9,8,"Yes - I already have",2,"Legal most of the time","No","June","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Yes",88,100,15,"No",0,2,5,"straight","Yes",2,"No","No","No",1,1,10,0,0,4,2,7,5,"Yes - I already have",3,"Always Legal","Yes","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","Black","Yes","Yes",92,93,5,"No",8,2,4,"straight","Yes",11,"No","No","No",4,4,10,2,1,1,3,5,8,"Yes - I already have",2,"Always Legal","No","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Male","Male","East Asian","No","No",91,91,0,"Yes",0,5,5,"straight","Yes",2,"No","No","No",3,3,10,10,5,4,2,5,5,"Yes - I already have",2,"Neutral","No","August","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",93,90,20,"Uncertain",5,7,9,"straight","Yes",5,"No","No","No",10,8,0,4,4,1,1,8,8,"Yes - I already have",2,"Always Legal","No","May","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","East Asian","No","No",90,92,20,"Yes",0,5,5,"straight","Yes",9,"Yes","No","No",7,7,1,0,0,1,1,9,10,"Yes - I would",2,"Always Legal","No","May","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",79,84,35,"Yes",7,4,5,"straight","Yes",2,"No","No","No",8,8,2,0,0,0,0,7,5,"Yes - I would",1,"Always Legal","Yes","July","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",1
"Male","Male","White","Yes","Yes",82,89,10,"No",0,4,8,"straight","Yes",10,"No","No","No",5,3,7,4,2,0,1,2,6,"Yes - I would",3,"Legal most of the time","No","September","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","No","No",98,98,10,"Uncertain",7,6,8,"straight","Yes",6,"No","No","No",2,1,9,8,7,6,2,7,9,"Yes - I already have",3,"Neutral","Yes","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","East Asian","No","No",99,97,15,"Uncertain",0,4,6,"straight","Yes",9,"No","No","No",7,7,1,5,5,0,2,8,10,"Yes - I would",2,"Legal most of the time","Yes","November","Over","FOLD","Burger King","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",58,88,25,"Uncertain",8,5,5,"straight","Yes",2,"No","No","No",0,0,10,2,2,1,1,10,10,"Yes - I already have",2,"Illegal most of the time","No","July","No preference","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","Other","Yes","Yes",87,96,60,"No",2,3,4,"straight","Yes",10,"No","No","No",7,7,3,1,1,0,1,6,5,"Yes - I would",2,"Legal most of the time","No","April","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","South Asian","Yes","Yes",90,89,10,"No",8,5,5,"straight","Yes",4,"No","No","No",10,10,0,10,10,0,1,9,10,"No",4,"Illegal most of the time","Yes","January","Under","WAD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","Yes",85,89,50,"No",5,0,0,"straight","Yes",6,"No","No","Yes",2,2,9,0,0,3,0,8,3,"Yes - I already have",3,"Always Legal","No","May","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","East Asian","No","No",73,95,0,"Uncertain",0,3,4,"straight","Yes",2,"No","Yes","No",2,1,8,0,3,0,2,6,8,"Yes - I would",0,"Always Legal","No","September","Over","FOLD","Burger King","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","East Asian","No","No",100,93,5,"No",0,5,5,"straight","Yes",14,"No","No","No",7,6,4,0,0,0,0,2,7,"Unsure",2,"Legal most of the time","Yes","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","Black","Yes","Yes",87,89,10,"No",1,0,0,"straight","Yes",5,"No","Yes","Yes",2,1,9,0,0,2,1,4,6,"Yes - I already have",4,"Always Legal","No","October","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","Hispanic","Yes","No",84,87,15,"No",6,3,3,"straight","Yes",7,"No","No","No",0,0,8,10,0,5,1,8,9,"Yes - I already have",2,"Always Legal","Yes","August","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","Black","Yes","Yes",59,39,45,"No",5,4,5,"straight","Yes",6,"No","No","No",1,0,5,5,2,50,2,10,10,"Yes - I already have",4,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","Hispanic","Yes","Yes",65,85,45,"No",4,8,8,"straight","Yes",4,"No","No","No",1,2,9,2,1,1,2,7,7,"Yes - I already have",3,"Illegal most of the time","Yes","June","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","Yes",99,99,15,"No",0,2,3,"other","No",18,"No","Yes","No",2,3,7,0,0,4,0,7,3,"Yes - I already have",0,"Always Legal","No","August","No preference","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","South Asian","Yes","Yes",98,99,20,"No",2,2,7,"straight","Yes",2,"No","No","No",6,7,3,0,0,1,1,5,10,"Yes - I already have",1,"Always Legal","No","July","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Male","Male","East Asian","No","No",91,98,20,"Uncertain",3,3,7,"straight","Yes",2,"No","No","No",7,7,2,0,0,7,2,8,7,"Yes - I already have",3,"Neutral","No","July","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Female","Female","Black","Yes","Yes",85,75,10,"No",6,0,4,"straight","Yes",12,"No","No","No",4,5,9,0,0,0,0,5,10,"No",3,"Always Legal","Yes","June","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Yes",72,80,10,"No",2,1,2,"straight","Yes",5,"No","No","No",8,8,2,0,0,5,3,5,9,"Yes - I already have",3,"Legal most of the time","No","January","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Female","Female","Black","Yes","Yes",82,92,25,"No",8,3,6,"straight","Yes",13,"No","No","Yes",10,9,2,0,0,2,2,8,5,"Yes - I already have",4,"Always Legal","No","July","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Yes",95,90,20,"No",3,5,3,"straight","Yes",7,"No","No","No",9,8,3,3,5,2,0,6,6,"Yes - I already have",3,"Legal most of the time","No","February","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Male","Male","East Asian","Yes","Yes",94,85,30,"No",6,2,6,"straight","Yes",5,"No","No","No",7,6,4,0,0,0,0,5,7,"Yes - I would",0,"Neutral","No","November","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","Black","Yes","Yes",68,81,30,"No",5,5,5,"straight","Yes",5,"No","No","No",6,6,2,0,0,0,1,6,5,"Yes - I would",2,"Legal most of the time","Yes","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","East Asian","No","No",82,97,50,"No",4,5,5,"straight","Yes",9,"No","No","No",5,5,5,0,10,2,3,5,5,"Yes - I would",2,"Neutral","Yes","August","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Male","Male","Other","Yes","Yes",20,15,5,"No",0,5,5,"straight","Yes",7,"No","No","No",1,2,9,1,3,50,3,7,10,"Yes - I already have",3,"Illegal most of the time","Yes","October","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",1
"Male","Male","East Asian","No","No",81,78,30,"Uncertain",0,1,0,"straight","No",12,"No","No","No",5,5,4,5,5,50,1,10,0,"Yes - I already have",1,"Illegal most of the time","No","December","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",2
"Male","Male","East Asian","No","No",93,90,5,"Uncertain",0,5,8,"straight","Yes",3,"No","No","No",2,2,10,10,10,8,2,10,0,"Yes - I already have",3,"Neutral","No","October","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Female","Female","Hispanic","Yes","Yes",99,95,30,"Uncertain",7,2,3,"straight","Yes",12,"No","Yes","Yes",8,8,2,0,0,4,2,8,4,"Yes - I already have",2,"Always Legal","No","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Female","Female","White","Yes","Yes",93,98,10,"No",5,4,4,"straight","Yes",10,"No","Yes","No",10,10,3,0,0,3,1,8,4,"Yes - I already have",2,"Always Legal","Yes","January","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Female","Female","White","Yes","Yes",94,81,10,"No",0,2,4,"straight","Yes",10,"No","No","No",9,9,3,0,0,1,1,7,3,"Yes - I already have",3,"Always Legal","No","September","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","White","Yes","Yes",97,100,15,"No",0,0,2,"straight","Yes",6,"No","No","No",8,7,1,0,0,0,0,5,7,"Yes - I would",3,"Always Legal","No","November","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Female","Female","Black","Yes","No",63,80,40,"No",6,0,7,"straight","Yes",2,"No","Yes","No",7,6,0,3,3,4,0,6,5,"Yes - I already have",4,"Always Legal","No","July","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
