"gender","genderID","greek","homeTown","ethnicity","religion","religious","likeMath","calculus","ACT","GPA","partyHr","drinks","sexPartners","relationships","callParents","socialMedia","texts","goodOrWell","expectedIncome","president","DACA","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City Subrub","White","Agnostic",0,2,"Yes",33,3.3,8,4,0,0,2,3,6,2,80,"Hillary Clinton",0,4,"Democratic",5,9,25,90,6
"Male","Male","Yes","Big City Subrub","South Asian","Muslim",3,4,"Yes",34,3.5,5,10,2,1,5,4,10,2,400,"Hillary Clinton",0,2,"Democratic",7,4,0,100,8
"Female","Female","No","Big City","Hispanic","Agnostic",0,5,"Yes",21,2,6,6,8,3,7,3,3,6,99,"Hillary Clinton",0,1,"Democratic",5,9,0,0,0
"Male","Male","No","Big City","East Asian","Hindu",4,7,"Yes",35,3.2,4,3,4,1,7,2,6,10,200,"Not eligible to vote",6,8,"Republican",5,9,10,100,4
"Female","Female","No","Big City","East Asian","Buddhist",3,1,"Yes",29,3.8,6,8,0,2,16,4,3,6,99999,"Not eligible to vote",6,0,"Other",5,8,0,100,8
"Female","Female","No","Big City Subrub","White","Christian",8,2,"No",21,3.3,8,8,2,1,3,3,4,5,100,"Donald Trump",8,8,"Republican",5,10,0,100,7
"Female","Female","No","Big City","Hispanic","Christian",7,5,"No",23,2.4,6,4,3,0,3,2,2,0,60,"Hillary Clinton",0,0,"Democratic",4,8,35,40,0
"Male","Male","No","Small Town","East Asian","Atheist",0,5,"Yes",30,3.5,0,0,2,3,1,5,3,7,120,"Not eligible to vote",0,0,"Independent",1,10,0,100,0
"Female","Female","Yes","Big City Subrub","White","Jewish",1,0,"Yes",30,3.1,4,30,10,2,6,4,9,8,500,"Hillary Clinton",0,0,"Democratic",2,10,0,100,6
"Male","Male","No","Big City Subrub","White","Jewish",1,8,"Yes",32,3.6,0,0,0,0,5,1,10,4,200,"Not eligible to vote",2,5,"Independent",9,10,5,100,7
"Male","Male","No","Big City Subrub","East Asian","Atheist",0,6,"Yes",32,3.9,2,0,1,4,0,3,2,9,1000,"Not eligible to vote",4,5,"Other",5,5,0,100,7
"Female","Female","No","Big City","East Asian","Buddhist",5,5,"No",25,3.6,0,0,0,0,50,2,5,8,60,"Chose not to vote",5,5,"Other",7,8,0,90,9
"Male","Male","No","Big City Subrub","East Asian","Atheist",0,5,"Yes",30,3.4,0,0,0,0,1,3,5,5,10,"Not eligible to vote",1,2,"Democratic",6,8,0,100,3
"Female","Female","No","Medium City","White","Christian",5,4,"Yes",25,3.8,0,2,13,1,10,10,7,5,100,"Chose not to vote",7,5,"Republican",5,7,15,80,7
"Female","Female","No","Big City","East Asian","Religious but not one of the above",8,2,"Yes",31,3.8,0,0,0,0,1,1,3,7,450,"Not eligible to vote",5,8,"Other",7,8,0,100,8
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",7,5,"No",20,3.2,10,6,0,0,2,6,7,5,175,"Hillary Clinton",0,2,"Democratic",5,10,0,100,10
"Male","Male","No","Big City","East Asian","Atheist",0,8,"Yes",33,3.2,4,1,50,2,2,2,50,3,200,"Not eligible to vote",0,6,"Other",7,7,40,100,2
"Female","Female","No","Small Town","South Asian","Hindu",4,6,"Yes",31,3.8,6,5,1,1,8,6,10,8,200,"Hillary Clinton",0,1,"Democratic",4,9,0,100,6
"Male","Male","No","Big City","East Asian","Christian",1,8,"Yes",26,3.6,6,6,0,0,1,5,5,5,100,"Hillary Clinton",0,3,"Democratic",7,6,5,10,7
"Female","Female","No","Big City","Hispanic","Christian",7,5,"Yes",22,3.5,10,15,3,2,4,4,4,1,100,"Hillary Clinton",0,0,"Democratic",6,8,0,0,8
"Male","Male","Yes","Big City Subrub","White","Agnostic",4,4,"No",24,3.6,22,49,2,1,5,4,10,10,250,"Not eligible to vote",8,4,"Libertarian",4,8,0,100,4
"Female","Female","No","Big City Subrub","South Asian","Hindu",3,8,"Yes",33,3.8,3,4,1,3,5,4,4,8,200,"Hillary Clinton",0,1,"Democratic",6,6,0,100,8
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",1,2,"Yes",27,3.5,0,0,0,1,1,3,5,10,60,"Not eligible to vote",0,0,"Democratic",1,8,0,0,4
"Female","Female","No","Small Town","East Asian","Religious but not one of the above",5,5,"Yes",25,3.9,5,0,0,1,4,2,3,5,100,"Not eligible to vote",5,3,"Other",5,9,10,50,5
"Female","Female","No","Medium City","East Asian","Agnostic",1,1,"Yes",33,3.7,0,0,0,0,1,1,0,10,99999,"Not eligible to vote",0,0,"Other",10,10,0,100,2
"Male","Male","Yes","Medium City","Hispanic","Religious but not one of the above",7,2,"No",25,3.9,4,10,1,1,1,1,4,5,200,"Hillary Clinton",0,3,"Democratic",0,2,10,0,8
"Female","Female","No","Medium City","East Asian","Christian",10,9,"Yes",32,3.5,0,0,0,0,1,0,4,7,100,"Chose not to vote",2,7,"Independent",6,6,10,100,7
"Female","Female","No","Big City","East Asian","Atheist",3,5,"Yes",28,3.5,0,0,2,3,4,3,2,9,200,"Not eligible to vote",1,5,"Democratic",6,10,0,100,8
"Female","Female","Yes","Big City Subrub","White","Christian",6,4,"Yes",22,3.8,6,8,10,3,3,3,4,6,10000,"Gary Johnson",0,0,"Democratic",5,8,0,80,2
"Male","Male","Yes","Big City","Hispanic","Christian",7,2,"Yes",26,2.2,6,10,2,2,3,5,3,10,90,"Hillary Clinton",0,3,"Democratic",6,10,0,10,7
"Female","Female","No","Big City Subrub","Other","Agnostic",5,4,"Yes",30,3.8,2,44,30,2,7,1,10,5,210,"Hillary Clinton",0,2,"Democratic",5,10,0,100,7
"Female","Female","No","Big City","East Asian","Christian",7,2,"Yes",32,4,5,0,0,0,10,4,6,5,40,"Not eligible to vote",5,4,"Democratic",2,8,5,100,2
"Female","Female","No","Big City Subrub","Other","Muslim",8,7,"Yes",25,3.6,0,0,0,1,14,4,5,5,200,"Hillary Clinton",0,3,"Democratic",4,9,0,10,7
"Female","Female","Yes","Big City Subrub","White","Christian",5,8,"Yes",32,3.5,24,3,5,1,2,2,4,2,100,"Chose not to vote",7,7,"Republican",3,9,10,100,6
"Female","Female","No","Big City","East Asian","Agnostic",0,0,"Yes",31,3.2,0,0,0,1,10,2,4,10,70,"Not eligible to vote",2,3,"Democratic",4,8,0,100,0
"Female","Female","No","Big City","Black","Agnostic",1,0,"No",23,3.8,0,0,3,3,18,10,6,5,100,"Not eligible to vote",0,4,"Democratic",5,7,10,10,3
"Male","Male","No","Small Town","White","Christian",3,1,"Yes",32,2.4,0,7,3,3,2,2,4,0,400,"Donald Trump",2,6,"Independent",10,6,0,0,7
"Male","Male","No","Big City","East Asian","Atheist",5,2,"Yes",29,3.7,3,0,50,0,2,2,2,6,200,"Not eligible to vote",5,4,"Other",4,9,0,100,3
"Female","Other","No","Big City Subrub","Black","Agnostic",0,2,"No",24,3.4,0,0,0,0,15,4,6,0,80,"Hillary Clinton",0,2,"Democratic",7,7,10,70,7
"Male","Male","Yes","Big City Subrub","White","Religious but not one of the above",3,5,"No",29,3.3,40,50,25,2,3,2,10,10,100,"Chose not to vote",5,5,"Libertarian",6,8,15,90,7
"Male","Male","No","Big City","East Asian","Atheist",0,8,"Yes",31,3.6,3,2,3,2,2,2,10,6,500,"Not eligible to vote",5,5,"Other",5,7,0,100,7
"Male","Male","Yes","Big City Subrub","White","Christian",4,1,"Yes",31,3.9,4,5,1,3,5,1,4,5,90,"Gary Johnson",5,5,"Independent",7,10,0,100,7
"Female","Female","No","Big City Subrub","White","Jewish",7,6,"No",24,3.8,8,7,8,3,5,8,6,10,100,"Not eligible to vote",4,3,"Democratic",4,6,0,70,3
"Female","Female","Yes","Big City Subrub","White","Agnostic",3,3,"Yes",29,3.1,2,1,0,0,15,4,13,5,100,"Hillary Clinton",0,2,"Democratic",4,9,10,90,8
"Female","Female","Yes","Big City Subrub","White","Jewish",6,5,"No",29,3.6,5,5,1,0,5,3,10,5,80,"Hillary Clinton",0,2,"Democratic",5,10,5,90,9
"Female","Female","No","Big City Subrub","White","Christian",4,0,"Yes",28,3.8,4,0,0,1,3,1,6,5,100,"Not eligible to vote",1,5,"Republican",4,7,0,100,3
"Female","Female","No","Big City Subrub","White","Christian",6,0,"Yes",20,3.2,9,10,0,0,2,5,9,9,900,"Donald Trump",5,5,"Republican",3,9,0,100,3
"Male","Male","No","Big City","Black","Christian",8,6,"Yes",26,2.4,3,0,16,1,36,1,3,5,999,"Chose not to vote",0,0,"Democratic",0,8,0,0,10
"Female","Female","No","Big City Subrub","White","Atheist",0,0,"Yes",22,3,0,0,0,1,7,2,3,5,80,"Hillary Clinton",0,2,"Democratic",5,10,30,30,3
"Male","Male","No","Big City","East Asian","Christian",7,0,"Yes",34,3.2,50,20,0,2,4,7,2,8,10000,"Not eligible to vote",0,0,"Democratic",5,7,0,100,0
"Male","Male","Yes","Small Town","White","Christian",8,0,"No",26,1.5,6,6,4,2,2,3,3,6,50,"Chose not to vote",7,7,"Republican",8,9,0,70,3
"Male","Male","No","Big City Subrub","White","Christian",7,5,"Yes",28,3.6,0,0,2,2,1,1,4,5,70,"Not eligible to vote",3,5,"Democratic",8,7,0,0,1
"Female","Female","Yes","Big City Subrub","East Asian","Jewish",5,7,"Yes",24,3.5,1,8,5,2,11,2,10,6,50,"Hillary Clinton",3,6,"Independent",5,5,15,20,4
"Male","Male","Yes","Small Town","East Asian","Christian",1,5,"Yes",36,3.5,1,1,0,0,0,1,2,7,150,"Chose not to vote",1,5,"Democratic",2,5,5,100,10
"Female","Female","No","Big City Subrub","White","Atheist",0,5,"Yes",29,3.6,5,10,50,1,1,3,3,2,180,"Chose not to vote",0,4,"Other",8,6,10,90,10
"Female","Female","No","Big City","East Asian","Religious but not one of the above",3,6,"Yes",33,3.8,0,0,0,1,14,2,7,7,100,"Not eligible to vote",2,5,"Other",3,7,0,20,3
"Female","Female","No","Big City Subrub","White","Christian",5,6,"No",27,3.8,10,6,1,1,5,3,5,6,80,"Donald Trump",3,6,"Republican",8,10,20,80,5
"Female","Female","No","Small Town","White","Christian",7,5,"No",24,3.6,25,20,2,2,1,5,8,5,100,"Not eligible to vote",4,6,"Republican",2,6,0,0,7
"Female","Female","No","Medium City","White","Christian",8,0,"No",24,3.8,6,10,4,1,7,3,5,5,90,"Donald Trump",2,8,"Republican",5,8,15,0,8
"Female","Female","No","Big City","White","Atheist",0,3,"No",32,3.5,1,2,0,0,2,2,5,0,100,"Not eligible to vote",0,1,"Democratic",2,10,0,80,7
"Female","Female","No","Big City Subrub","South Asian","Hindu",3,7,"Yes",35,4,0,0,1,1,12,1,3,10,1000,"Not eligible to vote",0,2,"Democratic",4,7,0,100,7
"Female","Female","Yes","Big City Subrub","White","Jewish",2,5,"Yes",32,4,5,0,0,0,8,2,4,5,100,"Not eligible to vote",0,2,"Democratic",5,9,0,50,5
"Male","Male","Yes","Big City Subrub","White","Christian",2,7,"No",32,2.9,6,15,42,12,14,6,5,7,200,"Donald Trump",3,6,"Republican",4,8,0,100,7
"Female","Female","No","Big City","East Asian","Christian",3,10,"Yes",34,3.6,5,0,1,2,4,4,5,5,100,"Not eligible to vote",5,4,"Other",3,5,0,100,5
"Male","Male","Yes","Big City Subrub","South Asian","Hindu",5,9,"Yes",24,2.8,8,0,0,0,7,2,39,7,120,"Chose not to vote",3,3,"Republican",6,4,15,70,6
"Female","Female","Yes","Big City Subrub","Hispanic","Agnostic",1,5,"Yes",31,3.1,5,10,6,2,10,7,10,3,70,"Hillary Clinton",0,1,"Democratic",5,10,10,50,7
"Male","Male","Yes","Big City Subrub","White","Agnostic",1,8,"Yes",26,2.8,2,12,4,2,1,2,4,6,80,"Donald Trump",8,6,"Independent",7,5,0,70,4
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",2,7,"Yes",21,4,4,1,1,1,7,3,4,5,85,"Not eligible to vote",0,4,"Independent",6,7,0,10,3
"Female","Female","Yes","Big City Subrub","White","Jewish",4,6,"Yes",27,3.5,8,0,4,3,3,4,5,5,130,"Hillary Clinton",0,3,"Democratic",4,7,0,20,8
"Female","Female","No","Big City Subrub","Hispanic","Christian",7,8,"Yes",31,4,0,0,0,0,1,2,5,5,60,"Not eligible to vote",0,0,"Democratic",6,10,10,100,7
"Female","Female","No","Small Town","Black","Agnostic",1,3,"Yes",28,3.6,3,0,0,0,0,1,5,4,59.43,"Not eligible to vote",0,3,"Democratic",2,3,0,0,10
"Female","Female","No","Big City Subrub","East Asian","Buddhist",2,5,"Yes",24,2.8,0,0,0,1,0,1,1,3,30,"Not eligible to vote",6,5,"Other",5,5,0,100,5
"Female","Female","No","Big City Subrub","White","Christian",4,7,"No",26,3.7,4,2,0,0,7,3,4,0,120,"Not eligible to vote",0,5,"Republican",5,9,15,50,8
"Male","Male","Yes","Big City Subrub","White","Jewish",3,1,"No",28,3.8,6,6,2,3,6,1,2,5,100,"Not eligible to vote",3,3,"Independent",7,10,5,100,9
"Male","Male","Yes","Big City Subrub","White","Agnostic",1,7,"Yes",30,3.5,25,45,15,2,1,2,3,9,120,"Chose not to vote",4,5,"Democratic",4,4,0,100,3
"Male","Male","Yes","Medium City","East Asian","Christian",2,7,"Yes",32,2.8,5,4,10,1,1,4,8,5,70,"Chose not to vote",3,6,"Democratic",8,7,30,70,4
"Male","Male","No","Big City","East Asian","Atheist",0,6,"Yes",33,3.7,5,2,7,2,3,2,12,10,100,"Chose not to vote",5,5,"Other",7,8,0,100,4
"Male","Male","Yes","Big City Subrub","White","Christian",7,9,"No",27,2.9,20,40,1,0,2,1,10,6,180,"Not eligible to vote",5,5,"Republican",2,10,0,70,8
"Female","Female","No","Big City Subrub","Hispanic","Agnostic",0,8,"Yes",27,2.8,8,5,3,1,0,6,6,7,70,"Hillary Clinton",0,8,"Democratic",3,4,20,10,3
"Female","Female","Yes","Big City","East Asian","Atheist",0,7,"Yes",28,3.2,2,5,1,1,1,2,5,5,140,"Hillary Clinton",0,2,"Democratic",5,8,10,0,7
"Female","Female","No","Big City","East Asian","Christian",5,5,"Yes",31,3.6,3,0,0,0,1,2,20,10,300,"Not eligible to vote",0,5,"Republican",2,7,0,100,7
"Male","Male","No","Big City","East Asian","Christian",10,7,"Yes",30,3.7,4,1,0,1,2,1,6,7,300,"Not eligible to vote",3,5,"Independent",2,10,0,100,7
"Male","Male","Yes","Small Town","White","Christian",8,3,"Yes",27,3.4,0,0,1,1,2,2,4,8,1000,"Donald Trump",10,8,"Republican",5,8,10,90,5
"Female","Female","Yes","Big City","Hispanic","Agnostic",0,7,"No",23,2.8,0,0,0,0,2,6,6,5,50,"Hillary Clinton",0,1,"Democratic",5,10,40,50,5
"Male","Male","Yes","Big City Subrub","White","Christian",3,3,"Yes",29,3,5,18,2,1,6,1,10,5,100,"Chose not to vote",2,5,"Independent",4,8,0,70,6
"Female","Female","Yes","Big City Subrub","White","Christian",7,4,"No",31,3.1,10,5,11,4,1,2,5,3,200,"Hillary Clinton",0,3,"Independent",5,8,0,100,7
"Female","Female","Yes","Small Town","White","Christian",4,0,"Yes",30,3.7,6,13,0,0,1,1,6,2,80,"Chose not to vote",0,8,"Republican",8,5,0,100,10
"Female","Female","No","Medium City","White","Christian",6,5,"No",28,3.7,8,10,1,1,3,3,6,7,70,"Not eligible to vote",2,4,"Democratic",5,10,0,100,0
"Male","Male","No","Big City Subrub","White","Atheist",0,5,"Yes",24,4,2,1,1,1,4,2,10,5,120,"Not eligible to vote",3,4,"Libertarian",5,8,20,70,4
"Male","Male","No","Big City Subrub","White","Agnostic",1,5,"No",27,3.7,14,29,5,1,4,2,7,2,500,"Not eligible to vote",2,6,"Independent",4,9,0,30,6
"Female","Female","Yes","Small Town","White","Christian",10,6,"Yes",24,3.6,2,4,1,0,0,2,4,0,115,"Chose not to vote",3,10,"Republican",5,8,15,100,8
"Female","Female","No","Big City","East Asian","Buddhist",2,5,"No",22,3.8,0,0,0,1,1,4,5,0,90,"Chose not to vote",0,5,"Democratic",7,6,10,90,6
"Female","Female","No","Big City Subrub","East Asian","Christian",9,7,"Yes",32,3.8,0,0,0,0,2,4,4,5,40,"Hillary Clinton",1,3,"Democratic",5,9,0,90,7
"Male","Male","No","Big City","East Asian","Christian",8,2,"Yes",29,3.5,3,4,7,2,2,6,10,7,5000,"Chose not to vote",0,5,"Other",5,7,0,80,5
"Female","Female","No","Big City Subrub","East Asian","Atheist",0,9,"Yes",30,3.5,0,0,0,0,2,3,4,5,90,"Not eligible to vote",0,4,"Democratic",7,9,0,100,7
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",5,8,"Yes",25,3.4,10,0,0,0,6,6,7,6,1000,"Not eligible to vote",0,3,"Democratic",5,8,0,90,5
"Female","Female","No","Big City Subrub","White","Religious but not one of the above",2,6,"No",26,3.8,5,0,1,1,3,3,6,5,900,"Not eligible to vote",5,1,"Libertarian",3,8,20,50,0
"Male","Male","No","Medium City","White","Atheist",0,8,"Yes",22,3,5,5,1,1,0,5,3,10,100,"Chose not to vote",0,5,"Republican",6,7,15,0,7
"Male","Male","No","Big City","Other","Christian",5,5,"Yes",25,1.9,3,12,11,1,2,4,15,5,320,"Chose not to vote",0,5,"Democratic",2,2,20,50,10
"Female","Female","No","Small Town","White","Religious but not one of the above",5,6,"Yes",22,4,4,3,1,1,5,5,5,5,200,"Not eligible to vote",0,0,"Democratic",10,10,35,50,10
"Female","Female","No","Medium City","White","Christian",1,4,"Yes",29,3.8,4,2,1,1,1,2,5,5,100,"Not eligible to vote",7,5,"Other",5,8,0,100,7
"Female","Female","No","Big City Subrub","South Asian","Muslim",8,6,"No",28,3.3,2,0,0,0,3,2,4,5,150,"Hillary Clinton",0,4,"Democratic",8,7,0,0,8
"Male","Male","No","Big City","East Asian","Atheist",2,7,"Yes",33,3.2,0,0,0,2,2,3,2,7,144,"Not eligible to vote",5,5,"Other",5,9,0,100,4
"Male","Male","No","Big City Subrub","East Asian","Christian",8,8,"Yes",33,3.8,0,0,0,1,5,3,3,2,100,"Chose not to vote",0,4,"Democratic",5,7,10,100,0
"Female","Female","No","Big City Subrub","White","Christian",3,5,"Yes",27,3.9,1,1,15,5,5,1,5,0,350,"Not eligible to vote",0,6,"Democratic",5,6,5,50,5
"Male","Male","No","Big City Subrub","White","Agnostic",0,7,"Yes",29,4,3,0,1,2,1,2,5,6,75,"Not eligible to vote",1,4,"Democratic",6,10,0,80,8
"Male","Male","No","Big City Subrub","South Asian","Muslim",8,6,"Yes",26,3.5,1,0,0,0,7,2,7,2,200,"Chose not to vote",1,3,"Democratic",2,10,0,0,9
"Male","Male","No","Small Town","East Asian","Atheist",0,4,"Yes",30,3.1,0,0,1,1,1,2,3,8,50,"Not eligible to vote",5,5,"Democratic",1,8,0,100,3
"Female","Female","No","Medium City","East Asian","Religious but not one of the above",1,5,"Yes",31,3.8,0,0,0,0,7,3,15,10,1000,"Not eligible to vote",1,1,"Other",5,8,0,100,6
"Male","Male","Yes","Big City Subrub","East Asian","Atheist",1,5,"Yes",28,2.8,22,34,2,1,7,2,3,0,250,"Chose not to vote",2,6,"Republican",2,9,0,100,10
"Female","Female","No","Big City Subrub","White","Jewish",4,5,"Yes",26,3.7,10,6,8,1,7,5,8,10,500,"Not eligible to vote",3,3,"Democratic",4,10,0,100,5
"Male","Male","No","Big City","East Asian","Atheist",0,6,"Yes",30,3,0,0,8,3,1,1,3,1,300,"Not eligible to vote",5,3,"Other",5,7,0,50,7
"Male","Male","No","Big City","East Asian","Atheist",0,5,"Yes",30,3.7,1,1,3,2,2,2,3,4,700,"Chose not to vote",4,8,"Republican",7,9,15,30,8
"Male","Male","Yes","Small Town","White","Christian",3,2,"Yes",28,2.2,12,50,3,3,4,3,7,5,80,"Donald Trump",9,9,"Republican",10,10,15,70,10
"Male","Male","No","Big City Subrub","Hispanic","Christian",5,7,"Yes",32,4,1,3,3,2,1,1,1,5,250,"Hillary Clinton",0,5,"Libertarian",8,7,40,0,10
"Male","Male","No","Big City","East Asian","Christian",5,8,"Yes",31,3.6,1,0,1,1,2,5,5,10,300,"Not eligible to vote",1,5,"Other",3,7,5,100,5
"Male","Male","Yes","Big City Subrub","White","Christian",4,4,"Yes",26,2.5,0,0,5,4,4,3,5,8,150,"Donald Trump",8,8,"Republican",3,10,15,100,6
"Female","Female","No","Big City","Hispanic","Christian",3,5,"Yes",22,2.8,3,4,0,0,3,5,4,10,75,"Hillary Clinton",0,0,"Democratic",5,10,0,90,10
"Male","Male","Yes","Big City","East Asian","Agnostic",2,6,"Yes",27,3,2,3,1,1,2,3,7,4,80,"Chose not to vote",0,5,"Democratic",6,6,0,20,5
"Female","Female","No","Big City","Hispanic","Atheist",0,10,"Yes",27,2.8,2,1,1,0,3,10,4,7,80,"Hillary Clinton",0,0,"Democratic",5,10,5,0,0
"Male","Male","No","Big City","East Asian","Atheist",1,8,"Yes",34,3.7,0,2,1,1,5,1,3,5,120,"Not eligible to vote",5,5,"Republican",0,6,0,100,0
"Female","Female","Yes","Medium City","White","Christian",6,3,"Yes",28,4,5,6,1,1,3,1,2,7,85,"Hillary Clinton",4,5,"Independent",3,8,0,30,1
"Female","Female","Yes","Small Town","White","Christian",6,6,"No",24,3.7,4,5,0,1,20,4,5,6,88,"Not eligible to vote",0,8,"Republican",5,9,15,90,8
"Female","Female","No","Small Town","White","Christian",8,6,"Yes",22,2.4,2,2,5,1,5,4,3,2,98,"Hillary Clinton",0,4,"Democratic",5,10,0,0,8
"Male","Male","No","Big City","East Asian","Atheist",2,8,"Yes",30,3.3,2,2,6,3,3,3,4,7,15,"Not eligible to vote",2,7,"Independent",10,8,0,100,6
"Male","Male","Yes","Big City Subrub","White","Atheist",0,6,"Yes",32,3.2,12,14,1,1,2,3,3,7,130,"Not eligible to vote",3,3,"Democratic",8,9,0,90,3
"Male","Male","No","Small Town","White","Christian",1,5,"Yes",22,3.3,6,10,0,1,0,1,5,8,100,"Donald Trump",8,9,"Libertarian",5,10,10,0,7
"Female","Female","No","Big City","East Asian","Buddhist",5,2,"Yes",30,3.5,0,0,6,3,2,2,2,10,100,"Not eligible to vote",0,5,"Other",0,10,0,90,0
"Male","Male","No","Big City","East Asian","Christian",6,0,"Yes",30,3.8,8,0,2,5,3,3,4,10,100,"Not eligible to vote",5,3,"Democratic",8,7,0,100,3
"Male","Male","Yes","Big City Subrub","White","Christian",3,3,"No",30,3.2,6,10,1,1,1,1,4,7,90,"Hillary Clinton",0,7,"Republican",3,9,0,90,0
"Male","Male","No","Big City Subrub","Black","Agnostic",2,6,"Yes",28,3.3,0,0,0,0,3,7,2,6,200,"Chose not to vote",0,3,"Other",7,8,0,30,4
"Male","Male","No","Big City","East Asian","Christian",7,0,"Yes",30,3.8,2,0,5,3,2,2,5,7,500,"Not eligible to vote",5,5,"Other",4,10,0,100,5
"Male","Male","Yes","Big City Subrub","Hispanic","Christian",7,9,"Yes",28,3.1,16,40,1,0,1,4,7,3,300,"Not eligible to vote",3,5,"Independent",2,6,10,80,10
"Female","Female","Yes","Big City Subrub","Other","Muslim",6,8,"Yes",23,3.5,6,0,1,2,10,2,5,5,200,"Hillary Clinton",0,5,"Democratic",5,7,0,100,8
"Female","Female","No","Medium City","East Asian","Atheist",0,4,"Yes",30,3,1,0,0,1,5,2,5,5,9000,"Chose not to vote",5,5,"Other",5,5,0,100,5
"Female","Female","No","Big City Subrub","White","Christian",5,0,"Yes",27,3.1,10,20,2,2,1,7,3,5,100,"Hillary Clinton",0,2,"Democratic",3,9,0,90,3
"Female","Female","Yes","Big City Subrub","White","Christian",5,1,"No",29,3.9,25,30,0,0,5,5,6,6,200,"Hillary Clinton",0,3,"Democratic",4,10,0,20,8
"Male","Male","No","Big City","East Asian","Buddhist",5,8,"Yes",35,3.8,0,0,0,0,10,1,3,8,900,"Not eligible to vote",10,6,"Other",8,10,0,100,8
"Male","Male","No","Small Town","White","Christian",8,8,"Yes",24,2.9,0,0,0,0,3,1,4,3,60,"Donald Trump",6,6,"Republican",6,8,0,0,1
"Female","Female","No","Big City Subrub","White","Christian",0,7,"Yes",28,4,4,2,0,0,6,1,7,6,200,"Donald Trump",10,8,"Republican",6,10,0,0,0
"Female","Female","No","Big City","East Asian","Atheist",0,6,"Yes",30,3.9,0,0,0,0,5,3,2,7,83,"Not eligible to vote",0,0,"Democratic",4,8,15,90,10
"Male","Male","Yes","Small Town","White","Christian",4,10,"Yes",26,2.8,2,6,4,2,1,6,2,10,80,"Chose not to vote",5,9,"Republican",8,10,20,10,10
"Female","Female","No","Big City","White","Agnostic",4,6,"No",21,2.3,1,2,7,2,7,5,3,5,90,"Chose not to vote",0,3,"Independent",6,10,0,0,10
"Male","Male","No","Big City Subrub","White","Christian",3,9,"Yes",33,4,2,0,1,1,3,2,5,7,100,"Not eligible to vote",1,2,"Democratic",5,8,0,50,6
"Female","Female","No","Small Town","Black","Christian",8,7,"Yes",26,3.7,4,0,2,2,2,2,5,5,90,"Hillary Clinton",0,3,"Democratic",5,9,20,30,9
"Female","Female","No","Big City Subrub","Black","Christian",10,6,"No",21,3.8,0,0,3,2,6,8,3,1,200,"Hillary Clinton",0,0,"Democratic",4,10,10,100,1
"Male","Male","No","Big City","White","Atheist",0,7,"No",21,2.5,5,1,16,1,4,1,10,5,100,"Jill Stein",1,6,"Other",7,8,0,10,0
"Male","Male","No","Big City Subrub","White","Christian",5,5,"Yes",24,3.8,8,20,1,1,7,2,5,2,100,"Donald Trump",2,7,"Republican",3,9,0,80,2
